MSZoning,Neighborhood,HouseStyle,Exterior1st,Foundation,BsmtExposure,GarageType,GarageFinish,MoSold_cat,MSSubClass,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,BsmtFinType1_ord,TotalSF,TotalBathrooms,Age,PorchSF,ComponentsQual,HasBsmt,HasGarage,Has2ndFloor,HasPool,Remodeled,SalePrice,SalePrice_log
RL,CollgCr,2Story,VinylSd,PConc,No,Attchd,RFn,Feb,60,8450,7,5,196.0,706,8,0,2,0,4,2401.3,3.3,5,61,3.625,1,1,1,0,0,208500,12.24769911637256
RL,Veenker,1Story,MetalSd,CBlock,Gd,Attchd,RFn,May,20,9600,6,8,0.0,978,6,1,2,298,4,2279.6,2.4,31,0,3.375,1,1,0,0,0,181500,12.109016442313738
RL,CollgCr,2Story,VinylSd,PConc,Mn,Attchd,RFn,Sep,60,11250,7,5,162.0,486,6,1,2,0,4,2528.8,3.3,7,42,3.625,1,1,1,0,1,223500,12.317171167298682
RL,Crawfor,2Story,Wd Sdng,BrkTil,No,Detchd,Unf,Feb,70,9550,7,5,0.0,216,7,1,3,0,4,2327.8,1.8,91,307,3.375,1,1,1,0,1,140000,11.849404844423074
RL,NoRidge,2Story,VinylSd,PConc,Av,Attchd,RFn,Dec,60,14260,8,5,350.0,655,9,1,3,192,4,3122.4,3.3,8,84,3.625,1,1,1,0,0,250000,12.429220196836383
RL,Mitchel,1.5Fin,VinylSd,Wood,No,Attchd,Unf,Oct,50,14115,5,5,0.0,732,5,0,2,40,4,2007.3000000000002,2.3,16,350,3.375,1,1,1,0,1,143000,11.870606902224587
RL,Somerst,1Story,VinylSd,PConc,Av,Attchd,RFn,Aug,20,10084,8,5,186.0,1369,7,1,2,255,4,3050.3,2.8,3,57,3.75,1,1,0,0,1,307000,12.634606283893019
RL,NWAmes,2Story,HdBoard,CBlock,Mn,Attchd,RFn,Nov,60,10382,7,6,240.0,859,7,2,2,235,4,2975.6,3.3,36,432,3.375,1,1,1,0,0,200000,12.206077645517674
RM,OldTown,1.5Fin,BrkFace,BrkTil,No,Detchd,Unf,Apr,50,6120,7,5,0.0,0,8,2,2,90,3,2540.7,2.0,77,205,3.0,1,1,1,0,1,129900,11.774527900858468
RL,BrkSide,1.5Unf,MetalSd,BrkTil,No,Attchd,RFn,Jan,190,7420,5,6,0.0,851,5,2,1,0,4,1874.8000000000002,1.8,69,4,3.375,1,1,0,0,1,118000,11.678448377988165
RL,Sawyer,1Story,HdBoard,CBlock,No,Detchd,Unf,Feb,20,11200,5,5,0.0,906,5,0,1,0,1,1879.0,1.8,43,0,3.25,1,1,0,0,0,129500,11.771443882099637
RL,NridgHt,2Story,WdShing,PConc,No,BuiltIn,Fin,Jul,60,11924,9,5,286.0,998,11,2,3,147,4,3272.5,3.8,1,21,4.0,1,1,1,0,1,345000,12.75130259456002
RL,Sawyer,1Story,HdBoard,CBlock,No,Detchd,Unf,Sep,20,12968,5,6,0.0,737,4,0,1,140,4,1641.6,1.8,46,176,3.0,1,1,0,0,0,144000,11.87757552297847
RL,CollgCr,1Story,VinylSd,PConc,Av,Attchd,RFn,Aug,20,10652,7,5,306.0,0,7,1,3,160,3,2698.2999999999997,2.0,1,33,3.625,1,1,0,0,1,279500,12.540761149388421
RL,NAmes,1Story,MetalSd,CBlock,No,Attchd,RFn,May,20,10920,6,5,212.0,733,5,1,1,0,2,2255.4,2.3,48,389,3.0,1,1,0,0,0,157000,11.964007453736912
RM,BrkSide,1.5Unf,Wd Sdng,BrkTil,No,Detchd,Unf,Jul,45,6120,7,8,0.0,0,5,0,2,48,3,1524.6999999999998,1.0,78,112,3.25,1,1,0,0,1,132000,11.790564777297387
RL,NAmes,1Story,Wd Sdng,CBlock,No,Attchd,Fin,Mar,20,11241,6,7,180.0,578,5,1,2,0,4,1807.2,1.8,40,0,3.25,1,1,0,0,0,149000,11.91170829631447
RL,Sawyer,1Story,MetalSd,Slab,,CarPort,Unf,Oct,90,10791,4,5,0.0,0,6,0,2,0,0,1303.2,2.0,39,0,2.25,0,1,0,0,0,90000,11.407576060361786
RL,SawyerW,1Story,VinylSd,PConc,No,Detchd,Unf,Jun,20,13695,5,5,0.0,646,6,0,2,0,4,2011.8,2.3,4,102,3.375,1,1,0,0,0,159000,11.976665770490767
RL,NAmes,1Story,BrkFace,CBlock,No,Attchd,Unf,May,20,7560,5,6,0.0,504,6,0,1,0,3,2169.2,1.0,51,0,3.0,1,1,0,0,1,139000,11.842236406331555
RL,NridgHt,2Story,VinylSd,PConc,Av,BuiltIn,RFn,Nov,60,14215,8,5,380.0,0,9,1,3,240,3,3312.5,3.5,1,154,3.75,1,1,1,0,1,325300,12.692506186542177
RM,IDOTRR,1.5Unf,Wd Sdng,PConc,No,Attchd,Unf,Jun,45,7449,7,7,0.0,0,6,1,1,0,3,1623.3,1.0,77,205,3.375,1,1,0,0,1,139400,11.845109950883979
RL,CollgCr,1Story,VinylSd,PConc,No,Attchd,RFn,Sep,20,9742,8,5,281.0,0,7,1,2,171,3,3224.1000000000004,2.0,6,159,3.625,1,1,0,0,0,230000,12.345838935721968
RM,MeadowV,1Story,CemntBd,PConc,No,Attchd,Unf,Jun,120,4224,5,7,0.0,840,6,1,2,100,4,1896.4,1.8,31,110,3.125,1,1,0,0,0,129900,11.774527900858468
RL,Sawyer,1Story,Plywood,CBlock,Mn,Attchd,Unf,May,20,8246,5,8,0.0,188,6,1,1,406,1,1908.0,1.8,42,90,3.5,1,1,0,0,1,154000,11.944714374881176
RL,NridgHt,1Story,VinylSd,PConc,No,Attchd,RFn,Jul,20,14230,8,5,640.0,0,7,1,3,0,3,2863.8,2.0,2,56,3.625,1,1,0,0,0,256300,12.454107814022272
RL,NAmes,1Story,Wd Sdng,CBlock,Mn,Detchd,Unf,May,20,7200,5,7,0.0,234,5,0,2,222,2,1626.0,1.4,59,32,3.125,1,1,0,0,1,134800,11.811554895830454
RL,NridgHt,1Story,VinylSd,PConc,No,Attchd,RFn,May,20,11478,8,5,200.0,1218,7,1,3,0,4,3077.0,2.8,3,50,3.75,1,1,0,0,1,306000,12.631343648903034
RL,NAmes,1Story,MetalSd,CBlock,Gd,Attchd,RFn,Dec,20,16321,5,6,0.0,1277,6,2,1,288,2,2791.8999999999996,1.8,49,258,3.0,1,1,0,0,1,207500,12.242891437918386
RM,BrkSide,1Story,MetalSd,BrkTil,No,Detchd,Unf,May,30,6324,4,6,0.0,0,4,0,1,49,3,942.0,1.0,81,87,2.625,1,1,0,0,1,68500,11.134603622683905
C (all),IDOTRR,2Story,BrkFace,BrkTil,No,Detchd,Unf,Jul,70,8500,4,4,0.0,0,6,0,1,0,3,1841.2,1.0,88,226,2.75,1,1,1,0,1,40000,10.596659732783579
RL,Sawyer,1Story,HdBoard,CBlock,No,Attchd,Unf,Jun,20,8544,5,6,0.0,0,6,0,1,0,3,2210.4,1.5,42,65,3.25,1,1,0,0,1,149350,11.914054519303125
RL,CollgCr,1Story,VinylSd,PConc,Av,Attchd,RFn,Jan,20,11049,8,5,0.0,0,7,0,2,0,3,2229.7,2.0,1,30,3.75,1,1,0,0,0,179900,12.100161978566867
