MSZoning,Neighborhood,HouseStyle,Exterior1st,Foundation,BsmtExposure,GarageType,GarageFinish,MoSold_cat,MSSubClass,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,BsmtFinType1_ord,TotalSF,TotalBathrooms,Age,PorchSF,ComponentsQual,HasBsmt,HasGarage,Has2ndFloor,HasPool,Remodeled
RL,ClearCr,1.5Fin,Wd Sdng,BrkTil,No,Detchd,Unf,Sep,50,45600,6,8,0.0,0,10,1,2,486,3,3091.1,3.0,100,215,2.875,1,1,1,0,1
RL,NWAmes,1Story,HdBoard,CBlock,No,Attchd,RFn,Jan,20,10140,6,6,99.0,663,5,1,2,265,4,2148.8,2.3,32,0,3.0,1,1,0,0,1
RL,Edwards,1.5Fin,WdShing,BrkTil,Mn,Detchd,Unf,Oct,50,9060,6,5,0.0,204,6,0,1,0,1,1712.0,1.0,70,0,3.0,1,1,1,0,1
RM,OldTown,2Story,Wd Sdng,BrkTil,No,Detchd,Unf,Sep,190,13600,5,5,0.0,0,10,0,2,0,3,2875.1,2.0,107,57,3.0,1,1,1,0,1
RL,Mitchel,2Story,HdBoard,CBlock,Av,Attchd,RFn,Sep,60,11075,5,4,232.0,562,7,1,2,305,4,2595.2,2.9,39,189,3.25,1,1,1,0,0
RL,Edwards,1.5Fin,MetalSd,CBlock,No,Detchd,Unf,May,50,11767,5,6,0.0,352,6,0,1,0,2,1821.4,1.0,62,0,3.25,1,1,1,0,1
RL,Gilbert,2Story,VinylSd,PConc,No,Attchd,RFn,Jan,60,8121,6,5,0.0,0,7,1,2,100,3,2426.4,2.5,6,40,3.375,1,1,1,0,0
RL,NAmes,SLvl,MetalSd,CBlock,No,Detchd,Unf,Feb,80,7134,5,5,0.0,384,6,1,2,0,4,1673.2,1.0,52,50,3.0,1,1,0,0,0
RL,Edwards,2Story,MetalSd,CBlock,Gd,,,Jan,190,7000,5,7,0.0,969,5,0,0,85,4,2247.6,1.8,98,148,2.375,1,0,1,0,1
RM,BrkSide,1Story,Wd Sdng,BrkTil,No,Detchd,Unf,May,30,6180,6,5,0.0,0,5,1,1,0,3,1760.0,1.0,81,128,3.0,1,1,0,0,1
RM,OldTown,1.5Fin,MetalSd,CBlock,Mn,Detchd,Unf,May,190,7800,5,7,0.0,507,5,1,2,0,1,1758.9,1.8,67,271,3.125,1,1,1,0,1
RL,NAmes,1Story,MetalSd,CBlock,No,Attchd,Unf,Jul,20,9353,4,5,0.0,0,5,0,1,0,3,1562.3,1.0,36,0,3.125,1,1,0,0,0
RL,NWAmes,1Story,Plywood,CBlock,No,Attchd,RFn,Jan,20,11751,6,6,480.0,705,7,1,2,0,2,3329.7,2.0,33,122,3.375,1,1,0,0,0
RM,BrDale,2Story,HdBoard,CBlock,No,Detchd,Unf,Jul,160,1680,6,5,232.0,387,4,0,1,0,4,1375.5,1.5,37,0,3.0,1,1,1,0,0
RL,NWAmes,1Story,Plywood,PConc,Mn,Attchd,RFn,Feb,20,10603,6,7,28.0,1200,6,2,2,168,4,2898.0,2.8,33,68,3.25,1,1,0,0,1
RL,Mitchel,1Story,VinylSd,PConc,No,Attchd,Unf,Jun,20,9187,6,5,0.0,336,5,0,2,120,4,1954.3,1.5,24,158,3.125,1,1,0,0,0
RL,Blmngtn,1Story,VinylSd,PConc,Av,Attchd,Fin,Oct,120,3982,8,5,0.0,1154,7,1,3,312,4,2788.3,2.8,0,0,3.875,1,1,0,0,0
RL,Gilbert,2Story,VinylSd,PConc,Av,Attchd,Fin,Jun,60,11207,6,5,0.0,714,8,1,2,95,4,2159.6,3.3,9,75,3.25,1,1,1,0,0
RL,Mitchel,1Story,HdBoard,Slab,,Attchd,Unf,Nov,20,21750,5,4,75.0,0,9,1,2,0,0,1781.0,1.0,49,0,2.125,0,1,0,0,1
RM,IDOTRR,1.5Fin,Wd Sdng,CBlock,No,Attchd,Unf,Jun,50,13710,5,5,0.0,420,6,0,1,289,2,2293.5,1.5,57,0,3.0,1,1,1,0,0
RL,SawyerW,2Story,VinylSd,PConc,No,Attchd,RFn,Sep,60,9554,8,5,125.0,380,8,1,2,182,4,2540.6,2.5,13,81,3.625,1,1,1,0,1
